[2017-12-12 11:18:56:424] ServiceA Start
[2017-12-12 11:19:01:432] ServiceB : Stopped
[2017-12-12 11:19:01:433] Count : 0
[2017-12-12 11:19:06:428] ServiceB : Running
[2017-12-12 11:19:06:430] Count : 1
[2017-12-12 11:19:11:428] ServiceB : Running
[2017-12-12 11:19:11:429] Count : 2
[2017-12-12 11:19:16:429] ServiceB : Running
[2017-12-12 11:19:16:431] Count : 3
[2017-12-12 11:19:21:430] ServiceB : Running
[2017-12-12 11:19:21:432] Count : 4
[2017-12-12 11:19:23:303] ServiceA Stop
[2017-12-12 11:19:30:866] ServiceA Start
[2017-12-12 11:19:35:890] ServiceB : Stopped
[2017-12-12 11:19:35:893] Count : 0
[2017-12-12 11:19:40:869] ServiceB : Running
[2017-12-12 11:19:40:871] Count : 1
[2017-12-12 11:19:45:870] ServiceB : Running
[2017-12-12 11:19:45:873] Count : 2
[2017-12-12 11:19:46:422] ServiceA Stop
[2017-12-12 11:46:05:319] ServiceA Start
[2017-12-12 11:46:10:342] ServiceB : Stopped
[2017-12-12 11:46:10:344] Count : 0
[2017-12-12 11:46:15:322] ServiceB : Running
[2017-12-12 11:46:15:324] Count : 1
[2017-12-12 11:46:20:323] ServiceB : Running
[2017-12-12 11:46:20:325] Count : 2
[2017-12-12 11:46:25:323] ServiceB : Running
[2017-12-12 11:46:25:325] Count : 3
[2017-12-12 11:46:30:324] ServiceB : Running
[2017-12-12 11:46:30:326] Count : 4
[2017-12-12 11:46:35:324] ServiceB : Running
[2017-12-12 11:46:35:326] Count : 5
[2017-12-12 11:46:40:325] ServiceB : Running
[2017-12-12 11:46:40:327] Count : 6
[2017-12-12 11:46:45:325] ServiceB : Running
[2017-12-12 11:46:45:327] Count : 7
[2017-12-12 11:46:50:326] ServiceB : Running
[2017-12-12 11:46:50:327] Count : 8
[2017-12-12 11:46:50:336] ServiceA Stop
[2017-12-12 11:47:11:565] ServiceA Start
[2017-12-12 11:47:16:589] ServiceB : Stopped
[2017-12-12 11:47:16:591] Count : 0
[2017-12-12 11:47:21:568] ServiceB : Stopped
[2017-12-12 11:47:21:570] Count : 1
[2017-12-12 11:47:26:569] ServiceB : Stopped
[2017-12-12 11:47:26:571] Count : 2
[2017-12-12 11:47:31:568] ServiceB : Stopped
[2017-12-12 11:47:31:568] Count : 3
[2017-12-12 11:47:36:570] ServiceB : Stopped
[2017-12-12 11:47:36:572] Count : 4
[2017-12-12 11:47:41:570] ServiceB : Stopped
[2017-12-12 11:47:41:572] Count : 5
[2017-12-12 11:47:46:571] ServiceB : Stopped
[2017-12-12 11:47:46:573] Count : 6
[2017-12-12 11:47:51:571] ServiceB : Stopped
[2017-12-12 11:47:51:572] Count : 7
[2017-12-12 11:47:56:572] ServiceB : Stopped
[2017-12-12 11:47:56:574] Count : 8
[2017-12-12 11:48:01:573] ServiceB : Stopped
[2017-12-12 11:48:01:575] Count : 9
[2017-12-12 11:48:06:573] ServiceB : Stopped
[2017-12-12 11:48:06:575] Count : 10
[2017-12-12 11:48:11:574] ServiceB : Stopped
[2017-12-12 11:48:11:576] Count : 11
[2017-12-12 11:48:16:573] ServiceB : Stopped
[2017-12-12 11:48:16:574] Count : 12
[2017-12-12 11:48:21:576] ServiceB : Stopped
[2017-12-12 11:48:21:577] Count : 13
[2017-12-12 11:48:26:576] ServiceB : Stopped
[2017-12-12 11:48:26:578] Count : 14
[2017-12-12 11:48:40:176] ServiceB : Stopped
[2017-12-12 11:48:40:176] Count : 15
[2017-12-12 11:48:42:179] ServiceB : StartPending
[2017-12-12 11:48:42:180] Count : 16
[2017-12-12 11:48:47:182] ServiceB : Stopped
[2017-12-12 11:48:47:184] Count : 17
[2017-12-12 11:48:56:057] ServiceB : StartPending
[2017-12-12 11:48:56:058] Count : 18
[2017-12-12 11:49:01:059] ServiceB : Stopped
[2017-12-12 11:49:01:061] Count : 19
[2017-12-12 11:49:06:059] ServiceB : Stopped
[2017-12-12 11:49:06:061] Count : 20
[2017-12-12 11:49:11:060] ServiceB : Stopped
[2017-12-12 11:49:11:062] Count : 21
[2017-12-12 11:49:16:060] ServiceB : Stopped
[2017-12-12 11:49:16:062] Count : 22
[2017-12-12 11:49:21:061] ServiceB : Stopped
[2017-12-12 11:49:21:063] Count : 23
[2017-12-12 11:49:26:062] ServiceB : Stopped
[2017-12-12 11:49:26:063] Count : 24
[2017-12-12 11:49:31:063] ServiceB : Stopped
[2017-12-12 11:49:31:065] Count : 25
[2017-12-12 11:49:36:064] ServiceB : Stopped
[2017-12-12 11:49:36:066] Count : 26
[2017-12-12 11:49:36:408] ServiceA Stop
[2017-12-12 11:49:51:951] ServiceA Start
[2017-12-12 11:49:56:966] ServiceB : Stopped
[2017-12-12 11:49:56:967] Count : 0
[2017-12-12 11:50:01:954] ServiceB : Stopped
[2017-12-12 11:50:01:956] Count : 1
[2017-12-12 11:50:06:955] ServiceB : Stopped
[2017-12-12 11:50:06:957] Count : 2
[2017-12-12 11:50:11:955] ServiceB : Stopped
[2017-12-12 11:50:11:957] Count : 3
[2017-12-12 11:50:16:956] ServiceB : Stopped
[2017-12-12 11:50:16:958] Count : 4
[2017-12-12 11:50:21:956] ServiceB : Stopped
[2017-12-12 11:50:21:958] Count : 5
[2017-12-12 11:50:26:957] ServiceB : Stopped
[2017-12-12 11:50:26:959] Count : 6
[2017-12-12 11:50:28:512] ServiceA Stop
