[2017-11-25 15:52:39:531] ServiceB Start
[2017-11-25 15:52:44:547] ServiceA : Stopped
[2017-11-25 15:52:49:534] ServiceA : Running
[2017-11-25 15:52:54:535] ServiceA : Running
[2017-11-25 15:52:59:536] ServiceA : Running
[2017-11-25 15:53:04:536] ServiceA : Running
[2017-11-25 15:53:09:537] ServiceA : Running
[2017-11-25 15:53:14:536] ServiceA : Running
[2017-11-25 15:53:19:539] ServiceA : Stopped
[2017-11-25 15:53:24:538] ServiceA : Running
[2017-11-25 15:53:24:740] ServiceB Stop
[2017-11-25 15:53:29:768] ServiceB Start
[2017-11-25 15:53:33:373] ServiceB Stop
[2017-11-25 15:53:52:767] ServiceB Start
[2017-11-25 15:53:57:781] ServiceA : Running
[2017-11-25 15:54:02:770] ServiceA : Running
[2017-11-25 15:54:07:771] ServiceA : Running
[2017-11-25 15:54:12:771] ServiceA : Running
[2017-11-25 15:54:17:772] ServiceA : Running
[2017-11-25 15:54:22:773] ServiceA : Running
[2017-11-25 15:54:27:773] ServiceA : Running
[2017-11-25 15:54:32:775] ServiceA : Running
[2017-11-25 15:54:37:773] ServiceA : Running
[2017-11-25 15:54:42:774] ServiceA : Running
[2017-11-25 15:54:47:775] ServiceA : Running
[2017-11-25 15:54:51:245] ServiceB Stop
[2017-11-25 15:54:51:825] ServiceB Start
[2017-11-25 15:54:56:850] ServiceA : Running
[2017-11-25 15:55:01:829] ServiceA : Stopped
[2017-11-25 15:55:06:829] ServiceA : Running
[2017-11-25 15:55:11:830] ServiceA : Running
[2017-11-25 15:55:12:771] ServiceB Stop
[2017-11-25 15:55:16:998] ServiceB Start
[2017-11-25 15:55:22:021] ServiceA : Running
[2017-11-25 15:55:27:001] ServiceA : Running
[2017-11-25 15:55:32:002] ServiceA : Stopped
[2017-11-25 15:55:37:002] ServiceA : Running
[2017-11-25 15:55:42:003] ServiceA : Running
[2017-11-25 15:55:47:003] ServiceA : Running
[2017-11-25 15:55:52:003] ServiceA : Running
[2017-11-25 15:55:57:004] ServiceA : Running
[2017-11-25 15:56:02:005] ServiceA : Running
[2017-11-25 15:56:07:005] ServiceA : Running
[2017-11-25 15:56:12:006] ServiceA : Running
[2017-11-25 15:56:17:006] ServiceA : Running
[2017-11-25 15:56:22:007] ServiceA : Running
[2017-11-25 15:56:27:007] ServiceA : Running
[2017-11-25 15:56:32:008] ServiceA : Running
[2017-11-25 15:56:37:008] ServiceA : Running
[2017-11-25 15:56:42:009] ServiceA : Running
[2017-11-25 15:56:47:010] ServiceA : Running
[2017-11-25 15:56:52:010] ServiceA : Running
[2017-11-25 15:56:57:012] ServiceA : Running
[2017-11-25 15:57:02:011] ServiceA : Running
[2017-11-25 15:57:07:012] ServiceA : Running
[2017-11-25 15:57:12:012] ServiceA : Running
[2017-11-25 15:57:17:012] ServiceA : Running
[2017-11-25 15:57:22:013] ServiceA : Running
[2017-11-25 15:57:27:014] ServiceA : Running
[2017-11-25 15:57:32:014] ServiceA : Running
[2017-11-25 15:57:37:015] ServiceA : Running
[2017-11-25 15:57:42:015] ServiceA : Running
[2017-11-25 15:57:47:016] ServiceA : Running
[2017-11-25 15:57:52:017] ServiceA : Running
[2017-11-25 15:57:57:017] ServiceA : Running
[2017-11-25 15:58:02:018] ServiceA : Running
[2017-11-25 15:58:07:018] ServiceA : Running
[2017-11-25 15:58:12:019] ServiceA : Running
[2017-11-25 15:58:17:019] ServiceA : Running
[2017-11-25 15:58:22:020] ServiceA : Running
[2017-11-25 15:58:27:020] ServiceA : Running
[2017-11-25 15:58:32:021] ServiceA : Running
[2017-11-25 15:58:37:021] ServiceA : Running
[2017-11-25 15:58:42:022] ServiceA : Running
[2017-11-25 15:58:47:022] ServiceA : Running
[2017-11-25 15:58:52:023] ServiceA : Running
[2017-11-25 15:58:57:023] ServiceA : Running
[2017-11-25 15:59:02:024] ServiceA : Running
[2017-11-25 15:59:07:025] ServiceA : Running
[2017-11-25 15:59:12:025] ServiceA : Running
[2017-11-25 15:59:17:026] ServiceA : Running
[2017-11-25 15:59:22:026] ServiceA : Running
[2017-11-25 15:59:27:027] ServiceA : Running
[2017-11-25 15:59:32:027] ServiceA : Running
[2017-11-25 15:59:37:028] ServiceA : Running
[2017-11-25 15:59:42:028] ServiceA : Running
[2017-11-25 15:59:47:029] ServiceA : Running
[2017-11-25 15:59:52:029] ServiceA : Running
[2017-11-25 15:59:57:030] ServiceA : Running
[2017-11-25 16:00:02:030] ServiceA : Running
[2017-11-25 16:00:07:031] ServiceA : Running
[2017-11-25 16:00:12:031] ServiceA : Running
[2017-11-25 16:00:17:032] ServiceA : Running
[2017-11-25 16:00:22:033] ServiceA : Running
[2017-11-25 16:00:27:032] ServiceA : Running
[2017-11-25 16:00:32:034] ServiceA : Running
[2017-11-25 16:00:37:033] ServiceA : Running
[2017-11-25 16:00:42:035] ServiceA : Running
[2017-11-25 16:00:47:035] ServiceA : Running
[2017-11-25 16:00:47:931] ServiceB Stop
[2017-11-25 16:30:33:563] ServiceB Start
[2017-11-25 16:30:38:573] ServiceA : Stopped
[2017-11-25 16:30:43:566] ServiceA : Running
[2017-11-25 16:30:48:567] ServiceA : Running
[2017-11-25 16:30:53:567] ServiceA : Running
[2017-11-25 16:30:58:568] ServiceA : Running
[2017-11-25 16:31:03:568] ServiceA : Running
[2017-11-25 16:31:08:569] ServiceA : Running
[2017-11-25 16:31:13:569] ServiceA : Running
[2017-11-25 16:31:18:569] ServiceA : Running
[2017-11-25 16:31:23:569] ServiceA : Running
[2017-11-25 16:31:28:571] ServiceA : Running
[2017-11-25 16:31:33:572] ServiceA : Running
[2017-11-25 16:31:38:572] ServiceA : Running
[2017-11-25 16:31:43:573] ServiceA : Running
[2017-11-25 16:31:48:573] ServiceA : Running
